name,pagerank
TMCPoldaMetro,0.006285549690819086
basuki_btp,0.0059307083354393185
TribunJualBeli,0.004405787931673691
RadioElshinta,0.0032838051137559035
YouTube,0.003278727975091667
herycahyono,0.003130834949163001
ChairunnissaD,0.0030201501631848576
amandactalaz,0.0023815069900860234
petajkt,0.0023445026195814565
imansufiaaa,0.0023252769639312354
_SinnB,0.0023252769639312354
hazyqhayqal_,0.0023252769639298845
oshixos,0.0023252769639298845
septiaparii,0.002269046937774647
LadyZwolf,0.0022093566636095952
temanAhok,0.0021574760778372173
kompascom,0.002132350002367624
torantula,0.0020586827447588224
Ciel_duke,0.0020586827447577377
Metro_TV,0.0017860778714676245
seok_jxn,0.0017817200444315367
maseokist,0.0017592280339709
nursfqh,0.0016317733080272933
KodokJiyoung,0.0016317733080272933
ain_safian,0.0016317733080272933
wildrxse,0.0016317733080272933
BudiFir60485018,0.0016317733080272933
skalanews,0.0016317733080272933
jpnncom,0.0016317733080272933
KaswaYadi,0.0016317733080272933
TribunStyle,0.0016317733080272933
malangpostgrup,0.0016317733080272933
fipyon,0.0016317733080272933
beritaprimacom,0.0016317733080272933
DDEANBAKA,0.0016317733080202287
NunkAlhabsy,0.0016317733080202287
JF_Changmin88,0.0016317733080202287
AdzlanNazir,0.0016317733080202287
snatwice,0.0016317733080202287
babysoobin,0.0016317733080202287
baesyuj,0.0016317733080202287
nurulfarahiyaha,0.0016317733080202287
keymira_96,0.0016317733080202287
anbmj_,0.0016317733080202287
ICTERlNE,0.0016317733080202287
FadhlinAsnan,0.0016317733080202287
bybaerbie,0.0016317733080202287
shownuxm,0.0016317733080202287
minaxtwce,0.0016317733080202287
rvireneyv,0.0016317733080202287
