name,pagerank
PRFMnews,0.022150921863850412
urbancikarang,0.012472523459998983
SenoajiAS,0.011248685027015589
endang_sutani,0.010061181878155424
muhamad56666667,0.010061181878155424
sripoku,0.00798016106096107
basuki_btp,0.006652594194351391
raihanmahat,0.0056001130252136275
YouTube,0.005046912670986192
infosawit,0.004313600573492471
EtipurnamaS,0.004313600573492471
prncesshoodie_,0.004313600573492471
NagaraRaharja,0.004313600573492471
RancahPost,0.004313600573492471
KodokJiyoung,0.004313600573492471
dw_indonesia,0.004313600573492471
CirebonNews,0.004313600573492471
hazwaniabuseman,0.004313600573473795
ijahtyrah,0.004313600573473795
gomezgurls,0.004313600573473795
jeonsomipro,0.004313600573473795
Ainanaat,0.004313600573473795
imygjenk,0.004313600573473795
DanishHanafi1,0.004313600573473795
MohdShaFiqqqq,0.004313600573473795
azmiecumie,0.004313600573473795
atoklehan,0.004313600573473795
ezatfadzil,0.004313600573473795
acuzetyzain,0.004313600573473795
jbrynto,0.004313600573473795
eunhasshi,0.004313600573473795
syaminaiman,0.004313600573473794
hanbinay,0.004313600573470499
tqah916,0.004313600573470499
atinfatin1,0.004313600573470499
bam20807,0.004313600573470499
ygyoonh,0.004313600573470499
awatifzubit,0.004313600573470499
amatulakmal,0.004313600573470499
fxdzlih,0.004313600573470499
_zanhafiz,0.004313600573470499
r0sdiyana,0.004313600573470499
awkaileest,0.004313600573470499
sargitz,0.004313600573470499
fxjol_,0.004313600573470499
zainzariff,0.004313600573470499
AriffAsyraaff,0.004313600573470498
faizahsukara,0.003027088121734076
lalisaahh,0.002612876745737317
XXXJYERIN,0.002515637462293486
