,username,tweet,date
42,scripkidding,"Banjir, Ribuan Rumah Semut Terendam.  #scripkidding",2016-09-20T07:01:19.000Z
43,dimedandotco,"Akibat Hujan Deras,Warga Marelan Panik Dan Terpaksa Mengungsi Karena Banjir . https://t.co/7Y9uEdjKu9 https://t.co/Xj6GJWNbDJ",2016-09-20T07:00:17.000Z
44,Ramlyyusof2,@KamalZakariah < Congratulation latest edition display Pergi tlg mangsa banjir  @romonicastro @najibeer @mFaizK13 @1rmfs @KBAB51 @SKMM_MCMC,2016-09-20T07:00:09.000Z
45,EtipurnamaS,"Testimoni cust @EtipurnamaS stiap hr slalu ada saja yg order KANZA..

Terbukti banjir orderan… https://t.co/jVIoxqy7I0",2016-09-20T06:59:52.000Z
46,FatinAniqah,Punyala aku banjir tgk scene Young buat signal minta Ra On jgn kasi tgl dia 😭😭😭😭😭😭😭😭,2016-09-20T06:58:24.000Z
47,HMUtara,"Hampir 200 penduduk membabitkan 43 keluarga di Kampung Sungai Pial, Tanjung Dawai, Sg Petani, terjejas akibat banjir kilat, 3 pagi tadi",2016-09-20T06:57:22.000Z
48,Jabar_NET,NET JABAR - JEMBATAN GANTUNG AKSES PELAJAR DAN WARGA TERPUTUS AKIBAT BANJIR: https://t.co/8zR5iwV2k8 via @YouTube,2016-09-20T06:54:04.000Z
49,Piepah_basyirah,"@Fakarare hahahaha in shaa allah tak mengalir , tahan air mata takut banjir nanti 😂",2016-09-20T06:53:51.000Z
50,Jabar_NET,I added a video to a @YouTube playlist https://t.co/2Msid55YdT NET JABAR - RATUSAN HEKTAR SAWAH RUSAK DITERJANG BANJIR,2016-09-20T06:53:13.000Z
51,lelecifer,"Kanker, banjir, kelaparan, dan tidak ada yang menyalahkan Tuhan. Nemu duit di jalan, pas otw lampu ijo trs, dan semua itu karena Tuhan. 😒",2016-09-20T06:51:13.000Z
52,Umar_Hasibuan,Parah sdg di indonesia banjir pekerja china https://t.co/W6A4uxWrpT,2016-09-20T06:50:13.000Z
53,KokoSuyono,"Kampung air laut tinggi , jadi banjir https://t.co/HjStieVKLW",2016-09-20T06:49:52.000Z
54,KokoSuyono,Kampung ku banjir air laut. https://t.co/32ycQfozub,2016-09-20T06:49:11.000Z
55,KokoSuyono,Kampang banjir... air laut. https://t.co/8atHtwZOD7,2016-09-20T06:48:29.000Z
56,naufalkahar,@amer_hooper but i want to continue degree. can catch pokemon can watch movie and can eat roti kosong banjir like usual.,2016-09-20T06:47:33.000Z
57,gua_oon,"katanya motor bebek, giliran banjir kok malah ga bisa berenang? ;'( | Goreng aje ya goreng :v",2016-09-20T06:46:34.000Z
58,lacouffe,"alo!
mau setiap hari banjir pulsa? 
join reseller aku aja yuk. cuma 20k udah dapet semua n_n lelang acc https://t.co/pvNiXoZOzz",2016-09-20T06:46:25.000Z
59,haritspratama1,Abis itu tinggal berdoa terus biar ga hujan terus jadi ga banjir https://t.co/LMHEgyufpm,2016-09-20T06:46:25.000Z
60,bu11ah,Banjir ke idok taun ni..??,2016-09-20T06:45:34.000Z
61,BenforISA,"Kalau banjir siapa yang salah..??
Sungai bukan tempat pemukiman.
Sampah aja tidak boleh di buang di sungai..... https://t.co/CELp6nVKsf",2016-09-20T06:44:17.000Z
62,andreajohny1,@Restu_Rahayu23 awas banjir syg,2016-09-20T06:41:26.000Z
63,sijabatwilliam,"Takut Banjir = Antlophobia,",2016-09-20T06:40:46.000Z
64,listya0175,"@SaveIDN @ely_susianti @kangdede78 itu mah banjir kanal itu sdh dr zamannya Foke, Jokowi& Ahok cuma nerusin, kalo mau nipu anak SD ga pa pa",2016-09-20T06:40:05.000Z
65,Agnes_Lebang,Jarang-jarang cuci motor loh yaa sekali cuci langsung hujan+banjir apa gak kamfreeet,2016-09-20T06:39:27.000Z
66,Kuvvar,"@RennyFernandez @Ianarhas 
udah tau begitu kok dibiarin banjir
berarti Penda DKI nya kerjanya lalai",2016-09-20T06:39:18.000Z
67,ZahiriAmri,Banjir pula di Tanjung Karang.,2016-09-20T06:36:35.000Z
68,sannyabraham,"Lampaui Target, Pedayung Jabar Banjir Kepretan: Medali emas yang diraih kayak 4 putri jarak 500 meter putri menjadi… https://t.co/4UhWEs9q7R",2016-09-20T06:34:40.000Z
69,JajaSyazana,@Nouf_Azman em banjir melimpag ruah sambal kicap dia pedas nk matey,2016-09-20T06:34:20.000Z
70,KepriTV,#FTV • BANJIR CINTA PREMAN CILIWUNG ~ Kiki Farel & Rahquel Nesia: https://t.co/l0cb06l68V melalui @YouTube,2016-09-20T06:32:02.000Z
71,nrlashikin97,Nasib baik jugak la pagi tadi aku terbangun sebab hujan.. dah la tak tutup tingkap 😂😂 kalo tak habis banjir bilik aku ni 😂,2016-09-20T06:30:40.000Z
72,ainunpane,"*NUMPANG PROMO*:

Ada Kavling Murah, Bebas Banjir kecuali Banjir nikmat ???  Rugi Klo tidak baca dan ayo segera... https://t.co/Cmymw8iiUi",2016-09-20T06:30:08.000Z
73,infokarang,Cikeruh Karangnunggal Dilanda Banjir https://t.co/PaBSHvuVt6,2016-09-20T06:28:59.000Z
74,beritaKBR,Alasan BPBD Cilacap Evakuasi Paksa Korban Banjir di Sidareja https://t.co/RYwuddPKuu https://t.co/DgyarULobQ,2016-09-20T06:28:04.000Z
75,charmingspade,"Ayla,2x tahun. Mewek banjir ketika ketemu pria demenan. Tambah mewek pas dia nanya ""kamu siapa?"" ヾ(´；ω；`ヾ)",2016-09-20T06:27:22.000Z
76,infokarang,Cikeruh Karangnunggal Dilanda Banjir https://t.co/PaBSHvuVt6 via @wordpressdotcom,2016-09-20T06:27:08.000Z
77,azmiecumie,@atinfatin1 yg adik cakap banjir tu bukan kategori kutuk ke 😂,2016-09-20T06:24:23.000Z
78,FurqonAzis,@dedipratama54 dah g banjir kang tapi genangan kata buzzernya mah 😊,2016-09-20T06:23:27.000Z
79,SinarOnline,Bomba Perak siap sedia hadapi banjir https://t.co/VLGBxLHxhZ https://t.co/9VDayL6JTj,2016-09-20T06:23:14.000Z
80,infofatmawati,"9 Jam dikepung banjir, genangan air di Kemang mulai surut - https://t.co/G6L66MPzPK https://t.co/p1QDOirLB6",2016-09-20T06:22:59.000Z
81,airenered,@himchantx @PLAYMFS dimana banjir? 😂,2016-09-20T06:16:48.000Z
82,CieeKampret,Ciee yang terjebak banjir kenangan ciee #cieekampret,2016-09-20T06:15:30.000Z
83,Mr_PCY92,siang siang banjir foto Nana di timeline. nikmat tuhan mana lagi yang engkau dustakan,2016-09-20T06:15:05.000Z
84,ibistok,@Yusrilihza_Mhd Lihat dulu apa tujuan kebijakan itu? Bukankah tujuannya supaya bebas banjir.... Tapi mengapa harus dipolitisi....,2016-09-20T06:14:15.000Z
85,zyxx_1,Longkang sekolah tu semua kecik2... Tu banjir td....  Haishhhhh....,2016-09-20T06:14:09.000Z
86,gosipartisyuk,Cha Seung Won: YG Entertainment Sering Banjir Uang https://t.co/IklxuySJdi #gosipartisyuk https://t.co/Bzprt04Wtx,2016-09-20T06:13:53.000Z
87,awratasya,"Hahaha semalam fokus ke sekitar soalnya banjir sambil nunggu belajar setelah belajar download sc&phhhoto itu juga ketiduran, dats why😖",2016-09-20T06:13:27.000Z
88,chiimistry,twit gw di rt sm fans yg famous..trus notif banjir u.u,2016-09-20T06:11:59.000Z
89,KangRoy5ubang,Wooow banjir https://t.co/dTlFlbbIdP,2016-09-20T06:10:48.000Z
90,MunafiknyaRPW,"Kita pengen reboisasi RPW, Buat RPW lebih indah, sejuk, sama gak bochor banjir sama RP KRYSTAL, EXO, BAP, TIFFANY yang mainstream.",2016-09-20T06:09:45.000Z
91,wiwekod,Berkah banjir today: sunter lancar jaya!! Wohiooo,2016-09-20T06:08:33.000Z
92,shhsihain,@aini_ngali jangan nangis.. Nanti banjir kktm u.. 😝,2016-09-20T06:08:24.000Z
93,zyxx_1,Bukan main lawa bersiap harini...  Smpai2 sekolah..  Sekolah banjir..  Hahahaha...  Srs serabut aku...,2016-09-20T06:07:58.000Z
94,ceritamedan,Banjir Genangi Beberapa Titik di Medan https://t.co/4t0apaDHfr,2016-09-20T06:07:19.000Z
95,DinsosDKI1,KDSK Kebayoran Baru memonitor lokasi rawan banjir di RW 06 Kel. Cipete Utara @basuki_btp @BeritaJakarta https://t.co/cWBGS1HSEO,2016-09-20T06:06:48.000Z
96,mr_jazli,Harap harap jgn banjir besar la trmpat gua cari makan.,2016-09-20T06:04:54.000Z
97,meteosphere,"Bencana meteorologi : banjir, kekeringan, dan topan, badai.",2016-09-20T06:03:37.000Z
98,ainanawawi_,bila excited nak pi pantai semata nk tengok banjir tapi ayaq dah… https://t.co/oTvln9f8e7,2016-09-20T06:03:33.000Z
99,awsana_,JYP banjir comeback ye 🙌,2016-09-20T06:02:07.000Z
100,daniel_hiskia,@Dena_JKT48 mungkin kamu tidurnya ngeces😴 jd dr pd kls banjir ya dibangunin aja km😶😅,2016-09-20T05:59:57.000Z
101,bernamadotcom,"Penduduk Kg Padang Salim, Kuala Muda membersihkan kediaman & premis perniagaan setelah dilanda banjir akibat fenome… https://t.co/xkS5Dat4d8",2016-09-20T05:59:25.000Z
102,RoslizaHasan,@Pu3KPasu Mangsa Banjir Di Selangor Kini Meningkat Kepada 224 Orang: SHAH ALAM – Jumlah m... https://t.co/08VCOCiSbM #KNews #respectmyPM,2016-09-20T05:58:36.000Z
103,wilwjy,"19. ..air hingga 0,4 meter. Yang artinya wilayah Tanjung Benoa, Nusa Dua, Tuban, Semawang, dan Sanur akan terkena banjir.",2016-09-20T05:57:53.000Z
104,wilwjy,"17. ..penyebab banjir, dikarenakan pengaruh luas reklamasi akan berdampak langsung terhadap ketinggian air.",2016-09-20T05:57:53.000Z
105,wilwjy,"16. Praktis, frekuenasi banjir pun meningkat karena kapasitas tampung sungai yang terlampaui oleh debit sungai.",2016-09-20T05:57:49.000Z
106,AiqaDhamiraa,mohon spm nanti tak kena banjir. Kalau amik resukt trial nanti mmg hampeh lah,2016-09-20T05:57:39.000Z
107,follbacknggih,"Persidangan Jesicca & Banjir Bandang Informasi

Beberapa hari yang lalu sempat kita disuguhi kembali oleh... https://t.co/iAGUeynT0Y",2016-09-20T05:56:47.000Z
108,rindi06407607,"Foto Gadis Beralis Tebal ini Bikin Kontroversi, Banjir Cacian, Bikin Ngakak https://t.co/LPgZqf6Yhw via @tribunnews",2016-09-20T05:55:39.000Z
109,DinsosDKI1,KDSK Kebayoran Baru memonitor anggota program WRSE di Kel Cipete Utara yg msh berjualan makanan di rawan banjir https://t.co/YX5dttCA7d,2016-09-20T05:55:26.000Z
110,AriyantoEddo,@tante_kiss kue lumpur lapindo bnjir bsah jemek licin rasa nano2 blom 2 kok udah banjir tante kebanyakan minumjuice timun nanas y apa terong,2016-09-20T05:54:55.000Z
111,AriyantoEddo,@tante_kiss kue lumpur lapindo banjir jemek rasa nano2 https://t.co/LL9kgTAMCa,2016-09-20T05:52:21.000Z
