source,target
sisca789,o_pripot
yunitaproborini,ozradiobandung
zaim_ramli,jembalanque
lalisaahh,iTaeyongg
lalisaahh,chuscjung
dadi_Waa,bpbd_jatim
CaityB_RP,bryzekk
bryzekk,beepolawr
bryzekk,CaityB_RP
ZyeDanisH,TwtLelaki
JPAMKSELANGOR,JPAMSELANGOR
JPAMKSELANGOR,JPAMtwiter
jams_ahmad,basuki_btp
jams_ahmad,tempodotco
doemyati,suaranews
syazasairan,khaleekhairi
ahmadjazuli91,prfmnews
rizalarifine,ozradiobandung
rizalarifine,ouvalresearch
ElinAzka,Kuisnesian
ElinAzka,MariKitaKuis
misszpurpink,Megat_Adry
Ainanaat,fxdzlih
BangUmar_,PDI_Perjuangan
SchaHyra_,afeeqiskandarr
ahmadjazuli91,PRFMnews
afeeqiskandarr,SchaHyra_
Inovator57,IndonesiaHoki
Inovator57,temanAhok
petajkt,mevan31622327
petajkt,petajkt
pry_sajo,psdajateng
pry_sajo,buddyJoank
charlietangoat3,xxJJake
charlietangoat3,gigilonggar
fxdzlih,Ainanaat
RajaAsyiqin,leenTHEshort
irwan_pjm126,C4R0L_Y4SM1N
irwan_pjm126,Tri_Rismaharini
irwan_pjm126,PDI_Perjuangan
_hfzpeh,_fadzliluqman
pry_sajo,psdajateng
pry_sajo,buddyJoank
pertiwi_natalia,jokowi
C4R0L_Y4SM1N,Tri_Rismaharini
C4R0L_Y4SM1N,PDI_Perjuangan
cyjungx,irenervldt
cyjungx,misanatw
cyjungx,ju2iets
cyjungx,ygicel
cyjungx,bjhriII
budi_utomo,temanAhok
budi_utomo,basuki_btp
budi_utomo,GunRomli
tatoogar6789,Metro_TV
NotSejeong96,NOTYENE00
battle_for1,PRFMnews
Sulli03659660,vowuztal
petajkt,asraoktav1
petajkt,petajkt
bernamaradio,MahdzirKhalid
atoklehan,awatifzubit
resnafirdaus,PRFMnews
EstiAzka,PRFMnews
raihanmahat,faizahsukara
raihanmahat,raihanmahat
faizahsukara,raihanmahat
hkmishhrdn,tuanakhmal
Arttep13,babyhyejeong
Ayu_Iko,PT_TransJakarta
xmh_97,hoshee96
KodokJiyoung,KodokJiyoung
indrierahman,temanahok
afathngantuk,mas_djono
afathngantuk,indrajpiliang
kuncoro402,jonru
eunhasshi,hanbinay
Inovator57,temanAhok
Inovator57,IndonesiaHoki
1911_an,temanAhok
man1_plg,kemenagsumselok
ISMKHB,ISMLALICE
Anvitria308,ragyustastu
regonggo,dulatips
regonggo,vierda
loncin18,vandawa_
loncin18,TPK_RI
aliirfani1,YouTube
aliirfani1,tyojb
ZikriiRosli,AmiFarisha
UNODAHYUN98,UNOPINKY98
OiiFirdaus,siskasoe_
MohArifWidarto,Privideniya_TL
MohArifWidarto,tribunnews
abuqhalid,RadioElshinta
nayyimm,twt_poli
BellaNazry96,NurulAsyiqinSK
BellaNazry96,NureenFansyurna
della_ulaan,Anggii_Fitri
ctnasmd,NurulAsyiqinSK
BangkaFery,patrulhyee
XXXJUNGKOOK,XXXJYERIN
chu_ikram,mhdhfzddn
baskoro_adytia,Spurs_ID
baskoro_adytia,IndoSpurs
TengkuEmah,AlfiqAbdAziz
rc_inguk,rc_araki
myrapyja_,MissZurena
TweetParpol,RamliRizal
TweetParpol,ZUL_Hasan
Izzazhrddin,_Nynorsln
NrShrmn,NANBN_
Hiraka_Silke,Yona_JKT48
Hiraka_Silke,Via_JKT48
Hiraka_Silke,Della_JKT48
Hiraka_Silke,Nadila_JKT48
ijahtyrah,amatulakmal
puanpialaaa,PadHIL_Jones
amatulakmal,ijahtyrah
shafiqshaq,CikJellyn
ardhyslankers42,hendrarprihadi
oscarpoluan,YouTube
oscarpoluan,ayoknonton
NBLH_JKT48,officialJKT48
NBLH_JKT48,OfficialRCTI
NBLH_JKT48,netmediatama
NBLH_JKT48,langitRTV
NBLH_JKT48,SCTV_
NBLH_JKT48,whatsonANTV
iimronnn,itawfik
NCTRPs,SMRGYIYANG
PYXKDahyun98,PYXJisoo95
imygjenk,fxjol_
windatriwardan1,dprimahotel
ShazrizalAz,FateynAM9691
ShazrizalAz,AdliyanaSalam
fxjol_,imygjenk
achik_ezam,fickqriey
jeonsomipro,ygyoonh
solehinmalek,HasanahSaharin
ShazrizalAz,AdliyanaSalam
ShazrizalAz,FateynAM9691
ygyoonh,jeonsomipro
hanbinay,eunhasshi
Inall9,desri_nheti
fatin_arni,ctkhlda
Resyifap_,amondarmanopo
FateynAM9691,AdliyanaSalam
punpunht,rlkiyeowo
punpunht,pinceus
punpunht,Bearpikachu
punpunht,vouzmorex
punpunht,YGJISXX_
punpunht,prkchxng_
punpunht,yeojrvt
solehinmalek,HasanahSaharin
Hrrizzhlmi,faizizham
jeonsomipro,ygyoonh
awatifzubit,atoklehan
nrzuhairahh,haidarwong
solehinmalek,HasanahSaharin
ygyoonh,jeonsomipro
ShaaMustafa,nediaasyikin
intansyafiqah17,NadhirahxAzizx
donghyuckr,pupyjjong
alialfayed3,temanAhok
alialfayed3,RustamIbrahim
alialfayed3,NusronWahid1
AdlinaNadia,Muhaiminzulkifl
LeoMerdeka,zay0104
al_fianna,Ronni_Hermawan_
syaminaiman,AriffAsyraaff
AriffAsyraaff,syaminaiman
syaminaiman,AriffAsyraaff
syifarizal02,anomiey
evanpanduwinat2,Trans7OnTheSpot
vikasyptr,Natasyarntp
vikasyptr,lidyaekaa_
pujisyukur361,KruhunPajajaran
syaminaiman,AriffAsyraaff
AriffAsyraaff,syaminaiman
clgeros,petajkt
nrzfrhghni,asyrowi
clgeros,petajkt
WLK_JinLovelyz,wlk_sura
norihansabdin,wina_arewin
Wkasyraf,dxnd__
Wkasyraf,adliaziz98
Kusumawatii30,mega_muchtar
Kusumawatii30,Riaasteel
alx_pinky,BadDaddyy69
ninasakinah,bharianmy
Wkasyraf,dxnd__
Wkasyraf,adliaziz98
rickdeniro,PRFMnews
TR_ChengXiao98,TR_Suga93
priworldscienv,pritheworld
priworldscienv,cementley
priworldscienv,PetaJkt
Idi_urangkace,jonru
xAmiruLIzzaTx,ShafiqaSharbi
jjaeksonwang,WeGotLoves
MTLMH93,MTINHO93
masrur_anhar,zaskiameccashop
masrur_anhar,zaskiamecca
XXXJYERIN,XJin_
XXXJYERIN,XXXJUNGKOOK
XXXJYERIN,CLCyeun
XJin_,XXXJUNGKOOK
XJin_,XXXJYERIN
XJin_,CLCyeun
rinamarliana96,pidibaiq
prncesshoodie_,prncesshoodie_
annixah13,chikanovani
svtnujii,apinxkbomi
Ahn_Hanyi,realdobi92
MohdShaFiqqqq,_zanhafiz
kyrashid,aimanabilah17
Gyl_anG,ibisbandung
_zanhafiz,MohdShaFiqqqq
MohdShaFiqqqq,_zanhafiz
LilikKhoirudin,Andi_ZaKi
LilikKhoirudin,Bg_MarOne
LilikKhoirudin,TPK_RI
